#	0.900000	0.950000	0.975000	0.990000	0.995000	0.999000	0.999900
73:	88.849916	93.945339	98.516262	104.009834	107.861736	116.091513	126.684397
74:	89.956048	95.081467	99.678349	105.202028	109.074377	117.346161	127.990074
75:	91.061460	96.216671	100.839338	106.392923	110.285583	118.599095	129.293704
76:	92.166167	97.350970	101.999252	107.582545	111.495383	119.850350	130.595327
77:	93.270181	98.484384	103.158112	108.770919	112.703804	121.099959	131.894983
78:	94.373516	99.616927	104.315938	109.958069	113.910872	122.347954	133.192709
79:	95.476186	100.748619	105.472750	111.144019	115.116615	123.594365	134.488544
80:	96.578204	101.879474	106.628568	112.328793	116.321057	124.839224	135.782521
81:	97.679581	103.009509	107.783410	113.512411	117.524222	126.082558	137.074676
82:	98.780329	104.138738	108.937294	114.694895	118.726134	127.324397	138.365043
83:	99.880461	105.267177	110.090238	115.876266	119.926817	128.564766	139.653653
84:	100.979987	106.394840	111.242259	117.056544	121.126292	129.803693	140.940539
85:	102.078918	107.521741	112.393374	118.235749	122.324581	131.041204	142.225731
86:	103.177265	108.647893	113.543598	119.413900	123.521704	132.277323	143.509258
87:	104.275037	109.773309	114.692947	120.591015	124.717683	133.512074	144.791150
88:	105.372246	110.898003	115.841436	121.767111	125.912536	134.745481	146.071434
89:	106.468900	112.021986	116.989080	122.942207	127.106284	135.977567	147.350138
90:	107.565009	113.145270	118.135893	124.116319	128.298944	137.208354	148.627287
91:	108.660581	114.267868	119.281889	125.289463	129.490534	138.437864	149.902909
92:	109.755627	115.389790	120.427081	126.461656	130.681073	139.666117	151.177028
93:	110.850154	116.511047	121.571483	127.632913	131.870578	140.893134	152.449668
94:	111.944171	117.631651	122.715107	128.803249	133.059065	142.118935	153.720853
95:	113.037686	118.751612	123.857967	129.972679	134.246550	143.343540	154.990606
96:	114.130708	119.870939	125.000073	131.141217	135.433049	144.566966	156.258949
97:	115.223242	120.989644	126.141437	132.308877	136.618578	145.789233	157.525905
98:	116.315298	122.107735	127.282072	133.475673	137.803151	147.010358	158.791494
99:	117.406883	123.225222	128.421989	134.641617	138.986783	148.230359	160.055738
100:	118.498004	124.342113	129.561197	135.806723	140.169489	149.449253	161.318657
101:	119.588667	125.458420	130.699709	136.971004	141.351283	150.667056	162.580270
102:	120.678880	126.574148	131.837533	138.134471	142.532177	151.883784	163.840597
103:	121.768650	127.689308	132.974681	139.297137	143.712185	153.099453	165.099657
104:	122.857982	128.803908	134.111163	140.459013	144.891320	154.314080	166.357467
105:	123.946883	129.917955	135.246987	141.620111	146.069595	155.527677	167.614046
106:	125.035359	131.031458	136.382164	142.780442	147.247022	156.740261	168.869412
107:	126.123417	132.144424	137.516702	143.940016	148.423613	157.951845	170.123581
108:	127.211062	133.256862	138.650610	145.098844	149.599379	159.162444	171.376570
109:	128.298300	134.368777	139.783897	146.256938	150.774332	160.372071	172.628395
110:	129.385136	135.480178	140.916573	147.414305	151.948483	161.580740	173.879073
111:	130.471576	136.591071	142.048644	148.570958	153.121843	162.788463	175.128619
112:	131.557626	137.701464	143.180120	149.726905	154.294423	163.995253	176.377047
113:	132.643290	138.811363	144.311008	150.882155	155.466234	165.201123	177.624374
114:	133.728575	139.920774	145.441316	152.036719	156.637285	166.406085	178.870613
115:	134.813484	141.029704	146.571052	153.190604	157.807586	167.610151	180.115779
116:	135.898022	142.138160	147.700223	154.343821	158.977148	168.813332	181.359885
117:	136.982196	143.246147	148.828836	155.496377	160.145979	170.015640	182.602946
118:	138.066008	144.353672	149.956900	156.648281	161.314089	171.217086	183.844974
119:	139.149464	145.460740	151.084419	157.799541	162.481488	172.417682	185.085983
120:	140.232569	146.567358	152.211403	158.950166	163.648184	173.617436	186.325985
121:	141.315326	147.673530	153.337856	160.100163	164.814186	174.816361	187.564994
122:	142.397741	148.779262	154.463787	161.249540	165.979502	176.014467	188.803020
123:	143.479816	149.884561	155.589201	162.398305	167.144142	177.211763	190.040077
124:	144.561557	150.989430	156.714104	163.546466	168.308113	178.408259	191.276176
125:	145.642968	152.093876	157.838503	164.694028	169.471423	179.603965	192.511328
126:	146.724052	153.197903	158.962404	165.841001	170.634081	180.798891	193.745545
127:	147.804813	154.301516	160.085812	166.987390	171.796093	181.993045	194.978838
128:	148.885255	155.404721	161.208735	168.133203	172.957469	183.186437	196.211218
129:	149.965383	156.507522	162.331176	169.278446	174.118214	184.379076	197.442695
130:	151.045199	157.609923	163.453143	170.423127	175.278337	185.570970	198.673280
131:	152.124707	158.711930	164.574639	171.567251	176.437845	186.762129	199.902983
132:	153.203911	159.813547	165.695672	172.710824	177.596744	187.952559	201.131814
133:	154.282814	160.914778	166.816245	173.853854	178.755042	189.142271	202.359784
134:	155.361420	162.015628	167.936365	174.996346	179.912745	190.331271	203.586900
135:	156.439731	163.116101	169.056036	176.138307	181.069861	191.519567	204.813175
136:	157.517752	164.216201	170.175263	177.279742	182.226395	192.707169	206.038615
137:	158.595485	165.315932	171.294052	178.420657	183.382353	193.894082	207.263231
138:	159.672934	166.415299	172.412406	179.561057	184.537743	195.080315	208.487032
139:	160.750102	167.514305	173.530332	180.700949	185.692571	196.265875	209.710026
140:	161.826991	168.612954	174.647832	181.840337	186.846842	197.450770	210.932222
141:	162.903605	169.711251	175.764913	182.979228	188.000563	198.635006	212.153629
142:	163.979946	170.809198	176.881578	184.117626	189.153738	199.818590	213.374255
143:	165.056019	171.906799	177.997831	185.255537	190.306375	201.001529	214.594108
144:	166.131824	173.004059	179.113678	186.392965	191.458479	202.183831	215.813196
145:	167.207366	174.100981	180.229122	187.529917	192.610055	203.365501	217.031528
146:	168.282646	175.197567	181.344168	188.666396	193.761108	204.546546	218.249110
147:	169.357668	176.293823	182.458820	189.802408	194.911645	205.726973	219.465951
148:	170.432435	177.389750	183.573080	190.937957	196.061670	206.906787	220.682059
149:	171.506948	178.485353	184.686955	192.073048	197.211189	208.085996	221.897439
150:	172.581210	179.580634	185.800447	193.207686	198.360206	209.264605	223.112101
151:	173.655225	180.675597	186.913560	194.341876	199.508727	210.442620	224.326050
152:	174.728993	181.770246	188.026299	195.475620	200.656756	211.620047	225.539295
153:	175.802519	182.864582	189.138666	196.608925	201.804299	212.796891	226.751842
154:	176.875803	183.958610	190.250666	197.741794	202.951360	213.973160	227.963697
155:	177.948850	185.052332	191.362302	198.874232	204.097944	215.148857	229.174868
156:	179.021660	186.145751	192.473577	200.006243	205.244056	216.323989	230.385361
157:	180.094236	187.238870	193.584495	201.137830	206.389699	217.498561	231.595183
158:	181.166580	188.331692	194.695060	202.268999	207.534879	218.672578	232.804339
159:	182.238695	189.424220	195.805275	203.399752	208.679600	219.846046	234.012837
160:	183.310583	190.516457	196.915142	204.530095	209.823866	221.018970	235.220682
161:	184.382246	191.608404	198.024666	205.660030	210.967682	222.191355	236.427881
162:	185.453686	192.700066	199.133850	206.789561	212.111051	223.363205	237.634439
163:	186.524904	193.791445	200.242696	207.918693	213.253978	224.534527	238.840363
